"TmdbId","Servie Type","Title","Season Number","Poster Path","Notes"
"64464","tv","11.22.63","1",,
"66788","tv","13 Reasons Why","1",,
"66788","tv","13 Reasons Why","2",,
"66788","tv","13 Reasons Why","3",,
"67043","tv","91 Days","1",,
"82696","tv","Adulting","1",,
"68421","tv","Altered Carbon","1",,
"42589","tv","Another","1",,
"94605","tv","Arcane","1",,
"124411","tv","Aspirants","1",,
"1429","tv","Attack on Titan","1",,
"1429","tv","Attack on Titan","2",,
"1429","tv","Attack on Titan","3",,
"1429","tv","Attack on Titan","4",,
"246","tv","Avatar: The Last Airbender","1",,
"246","tv","Avatar: The Last Airbender","2",,
"246","tv","Avatar: The Last Airbender","3",,
"4686","tv","Ben 10","1",,
"4686","tv","Ben 10","2",,
"4686","tv","Ben 10","3",,
"4686","tv","Ben 10","4",,
"73223","tv","Black Clover","1",,
"131041","tv","BLUELOCK","1",,
"1396","tv","Breaking Bad","1",,
"1396","tv","Breaking Bad","2",,
"1396","tv","Breaking Bad","3",,
"1396","tv","Breaking Bad","4",,
"1396","tv","Breaking Bad","5",,
"76659","tv","Breathe","1",,
"84454","tv","Broken But Beautiful","1",,
"84150","tv","College Romance","1",,
"30991","tv","Cowboy Bebop","1",,
"105248","tv","Cyberpunk: Edgerunners","1",,
"70523","tv","Dark","1",,
"70523","tv","Dark","2",,
"70523","tv","Dark","3",,
"13916","tv","Death Note","1",,
"135670","tv","Dhindora","1",,
"62715","tv","Dragon Ball Super","1",,
"12971","tv","Dragon Ball Z","1",,
"12971","tv","Dragon Ball Z","2",,
"12971","tv","Dragon Ball Z","3",,
"12971","tv","Dragon Ball Z","4",,
"12971","tv","Dragon Ball Z","5",,
"12971","tv","Dragon Ball Z","6",,
"12971","tv","Dragon Ball Z","7",,
"12971","tv","Dragon Ball Z","8",,
"12971","tv","Dragon Ball Z","9",,
"65249","tv","ERASED","1",,
"1434","tv","Family Guy","1",,
"132117","tv","Farzi","1",,
"42705","tv","Fighting Spirit","1",,
"42705","tv","Fighting Spirit","2",,
"210955","tv","First Love","1",,
"1668","tv","Friends","1",,
"1668","tv","Friends","2",,
"1668","tv","Friends","3",,
"1668","tv","Friends","4",,
"1668","tv","Friends","5",,
"1668","tv","Friends","6",,
"1668","tv","Friends","7",,
"1668","tv","Friends","8",,
"1668","tv","Friends","9",,
"1668","tv","Friends","10",,
"31911","tv","Fullmetal Alchemist: Brotherhood","1",,
"1399","tv","Game of Thrones","1",,
"1399","tv","Game of Thrones","2",,
"1399","tv","Game of Thrones","3",,
"1399","tv","Game of Thrones","4",,
"1399","tv","Game of Thrones","5",,
"1399","tv","Game of Thrones","6",,
"1399","tv","Game of Thrones","7",,
"1399","tv","Game of Thrones","8",,
"67389","tv","Golden Time","1",,
"79166","tv","Grand Blue","1",,
"60863","tv","Haikyu!!","1",,
"60863","tv","Haikyu!!","2",,
"60863","tv","Haikyu!!","3",,
"45950","tv","High School D×D","1",,
"56998","tv","High School of the Dead","1",,
"96421","tv","Hostel Daze","1",,
"96421","tv","Hostel Daze","2",,
"46298","tv","Hunter x Hunter","1",,
"65329","tv","Hyouka","1",,
"87030","tv","ImMATURE","1",,
"87030","tv","ImMATURE","2",,
"40424","tv","Initial D","1",,
"40424","tv","Initial D","2",,
"40424","tv","Initial D","3",,
"95557","tv","Invincible","1",,
"95479","tv","Jujutsu Kaisen","1",,
"45998","tv","KissXsis","1",,
"89113","tv","Kota Factory","1",,
"89113","tv","Kota Factory","2",,
"45783","tv","Kuroko's Basketball","1",,
"45783","tv","Kuroko's Basketball","2",,
"45783","tv","Kuroko's Basketball","3",,
"84958","tv","Loki","1",,
"79696","tv","Manifest","1",,
"77939","tv","MEGALOBOX","1",,
"77939","tv","MEGALOBOX","2",,
"84105","tv","Mirzapur","1",,
"84105","tv","Mirzapur","2",,
"71446","tv","Money Heist","1",,
"71446","tv","Money Heist","2",,
"30981","tv","Monster","1",,
"72296","tv","My First Girlfriend is a Gal","1",,
"65930","tv","My Hero Academia","1",,
"65930","tv","My Hero Academia","2",,
"65930","tv","My Hero Academia","3",,
"46260","tv","Naruto","1",,
"46260","tv","Naruto","2",,
"46260","tv","Naruto","3",,
"46260","tv","Naruto","4",,
"31910","tv","Naruto Shippūden","1",,
"31910","tv","Naruto Shippūden","2",,
"31910","tv","Naruto Shippūden","3",,
"31910","tv","Naruto Shippūden","4",,
"31910","tv","Naruto Shippūden","5",,
"31910","tv","Naruto Shippūden","6",,
"31910","tv","Naruto Shippūden","7",,
"31910","tv","Naruto Shippūden","8",,
"890","tv","Neon Genesis Evangelion","1",,
"98575","tv","Never Kiss Your Best Friend","1",,
"62640","tv","Nisekoi","1",,
"62640","tv","Nisekoi","2",,
"63926","tv","One-Punch Man","1",,
"63926","tv","One-Punch Man","2",,
"61459","tv","Parasyte -the maxim-","1",,
"64706","tv","Prison School","1",,
"43865","tv","Psycho-Pass","1",,
"43865","tv","Psycho-Pass","2",,
"60625","tv","Rick and Morty","1",,
"60625","tv","Rick and Morty","2",,
"60625","tv","Rick and Morty","3",,
"60625","tv","Rick and Morty","4",,
"60625","tv","Rick and Morty","5",,
"60625","tv","Rick and Morty","6",,
"79352","tv","Sacred Games","1",,
"111188","tv","Scam 1992 - The Harshad Mehta Story","1",,
"79141","tv","Scissor Seven","1",,
"79141","tv","Scissor Seven","2",,
"79141","tv","Scissor Seven","3",,
"61664","tv","Sense8","1",,
"75986","tv","Servant x Service","1",,
"92783","tv","She-Hulk: Attorney at Law","1",,
"19885","tv","Sherlock","1",,
"119279","tv","Solos","1",,
"120089","tv","SPY x FAMILY","1",,
"93405","tv","Squid Game","1",,
"42509","tv","Steins;Gate","1",,
"78102","tv","Steins;Gate 0","1",,
"66732","tv","Stranger Things","1",,
"66732","tv","Stranger Things","2",,
"66732","tv","Stranger Things","3",,
"66732","tv","Stranger Things","4",,
"75865","tv","Teasing Master Takagi-san","1",,
"76479","tv","The Boys","1",,
"76479","tv","The Boys","2",,
